PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,IC50,IC50 StdDev,Inhibition 1,Inhibition 2,Inhibition 3,Inhibition 4,Inhibition 5,Inhibition 6,Inhibition 7,Inhibition 8,Inhibition 9,Inhibition 10,Inhibition,Inhibition 11,Inhibition 12,Inhibition 13,Inhibition 14,Inhibition 15,Inhibition 16,Inhibition 17,Inhibition 18,Inhibition 19,Inhibition 20,Inhibition 21,Inhibition 22,Inhibition 23,Verification
26736121,853507,Inactive,0,,,,,3.26,,,,,,,,,,,,,,,,,,,,,,,,verified
26736122,2402646,Inactive,0,,,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,verified
26736123,730211,Inactive,0,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,verified
26736124,11357027,Inactive,0,,,,,9.05,,,,,,,,,,,,,,,,,,,,,,,,verified
26736125,16750009,Inactive,0,,,,,9.28,,,,,,,,,,,,,,,,,,,,,,,,verified
26736126,12344019,Inactive,0,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,,,,verified
26736127,16750010,Inactive,0,,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,verified
26736128,16750011,Inactive,0,,,,,6.51,,,,,,,,,,,,,,,,,,,,,,,,verified
26736129,16750012,Inactive,0,,,,,16.12,,,,,,,,,,,,,,,,,,,,,,,,verified
26736130,16750013,Inactive,0,,,,,13.59,,,,,,,,,,,,,,,,,,,,,,,,verified
26736131,16750014,Inactive,0,,,,,10.26,,,,,,,,,,,,,,,,,,,,,,,,verified
26736132,16750015,Inactive,0,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,verified
26736133,16750016,Active,41,,,17.3,1.23,96.59,75.11,,53.01,,35.21,,,17.32,,,10.58,,,,,,,,,,,,,verified
26736134,16750017,Inactive,0,,,,,14.36,,,,,,,,,,,,,,,,,,,,,,,,verified
26736135,927737,Inactive,0,,,,,10.07,,,,,,,,,,,,,,,,,,,,,,,,verified
26736136,16750018,Inactive,0,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,verified
26736137,16750019,Inactive,0,,,,,14.03,,,,,,,,,,,,,,,,,,,,,,,,verified

