PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PERCENT_INHIBITION
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent Inhibition of HUTS-21 antibody binding
RESULT_UNIT,,,,,,,PERCENT
720,842959,645237,Inactive,1,,,0.73
721,842960,645238,Inactive,0,,,-9.97
722,842961,645239,Inactive,0,,,-2.12
723,842962,645240,Inactive,2,,,1.53
724,842963,645241,Inactive,14,,,13.51
725,842964,645242,Inactive,8,,,8.06
726,842965,645243,Inactive,21,,,20.94
727,842966,645244,Inactive,14,,,13.99
728,842967,645245,Inactive,8,,,7.97
729,842970,645248,Inactive,0,,,-6.28
730,842971,645249,Inactive,4,,,3.57
731,842972,5523429,Inactive,0,,,-2.68
732,842973,645251,Inactive,0,,,-0.59
733,842974,645252,Inactive,1,,,1.34
734,842975,645253,Inactive,16,,,16.07
735,842976,645254,Inactive,0,,,-13.65
736,842977,645255,Inactive,0,,,-8.16
737,842979,645257,Inactive,0,,,0.25
738,842980,645258,Inactive,0,,,-3.36
739,842982,645260,Inactive,7,,,6.71
740,842984,645262,Inactive,11,,,11.38
741,842987,645265,Inactive,12,,,11.57
742,842988,645266,Inactive,0,,,-2.66
743,842989,645267,Inactive,10,,,10.38
744,842990,645268,Inactive,11,,,10.87
745,842991,645269,Inactive,20,,,19.76
746,842992,645270,Inactive,0,,,-10.67
747,842993,645271,Inactive,1,,,1.44
748,842994,645272,Inactive,4,,,3.76
749,842995,616809,Inactive,2,,,2.26
750,842996,645273,Inactive,19,,,18.91
751,842998,645275,Inactive,0,,,-4.38
752,842999,645276,Inactive,0,,,-2.92
753,843002,645279,Inactive,0,,,-8.74
754,843004,645281,Inactive,9,,,9.39
755,843005,767427,Inactive,0,,,-11.96
756,843006,645283,Inactive,25,,,24.68
757,843007,645284,Inactive,11,,,11.21
758,843008,536700,Inactive,18,,,17.79
759,843009,645285,Inactive,28,,,28.43
760,843010,645286,Inactive,5,,,5.46
761,843011,645287,Inactive,18,,,17.67
762,843012,645288,Inactive,0,,,-7.2
763,843013,645289,Inactive,0,,,-11.67
764,843014,645290,Inactive,6,,,6.24
765,843015,645291,Inactive,0,,,-3.42
766,843016,645292,Inactive,2,,,2.4
767,843018,645294,Inactive,8,,,7.76
768,843019,645295,Inactive,21,,,20.81
769,843020,645296,Inactive,6,,,5.9
770,843022,645298,Inactive,0,,,-2.94
771,843024,645300,Inactive,6,,,6.22
772,843025,645301,Inactive,0,,,-3.74
773,843026,645302,Inactive,10,,,9.64
774,843027,645303,Inactive,4,,,4.44
775,843028,645304,Inactive,0,,,-0.25
776,843029,645305,Inactive,0,,,-4.75
777,843030,645306,Inactive,0,,,-1.11
778,843032,645307,Inactive,2,,,1.75
779,843033,645308,Inactive,4,,,3.95
780,843034,645309,Inactive,0,,,-12.23
781,843035,645310,Active,57,,,56.83
782,843036,645311,Inactive,9,,,9.43
783,843037,645312,Inactive,0,,,-9.25
784,843039,645314,Inactive,0,,,-2.72
785,843040,645315,Inactive,5,,,4.54
786,843041,645316,Inactive,2,,,2.4
787,843042,645317,Inactive,3,,,2.66
788,843044,645319,Inactive,2,,,1.61
789,843045,645320,Inactive,12,,,12.15
790,843046,645321,Inactive,11,,,11.1
791,843047,645322,Inactive,4,,,3.61
792,843048,645323,Inactive,0,,,-12.11
793,843049,645324,Inactive,11,,,11.4
794,843050,645325,Inactive,0,,,-2.46
795,843051,645326,Inactive,0,,,-3.58
796,843052,645327,Inactive,0,,,-4.63
797,843053,645328,Inactive,0,,,-3.54
798,843054,54687731,Inactive,0,,,-13.95
799,843055,645330,Inactive,9,,,9.47
800,843056,645331,Inactive,0,,,-13.63
801,843057,645332,Inactive,11,,,11.12
802,843058,96863,Inactive,4,,,3.91
803,843061,54690397,Inactive,0,,,-0.42
804,843062,645336,Inactive,0,,,-1.85
805,843063,645337,Inactive,0,,,-2.63
806,843064,645338,Inactive,0,,,0
807,843066,645340,Inactive,0,,,-17.21
808,843067,645341,Inactive,0,,,-38.75
809,843069,6602600,Inactive,1,,,0.95
810,843070,6603085,Inactive,15,,,14.59
811,843072,2789306,Inactive,0,,,-6.04
812,843073,6603342,Inactive,0,,,-2.6
813,843074,6603359,Inactive,5,,,5.25
814,843076,645356,Inactive,18,,,18.18
815,843077,645357,Inactive,0,,,-0.44
816,843078,645358,Inactive,11,,,11.35
817,843079,645359,Inactive,10,,,9.73
818,843081,645361,Inactive,28,,,28.37
819,843082,645362,Inactive,11,,,10.53
820,843083,645363,Inactive,10,,,9.77
821,843084,645364,Inactive,0,,,-590.84
822,843086,645366,Inactive,18,,,18.28
823,843087,645367,Inactive,5,,,5.37
824,843088,645368,Inactive,7,,,6.97
825,843090,5770775,Inactive,13,,,13.23
826,843091,645371,Inactive,0,,,-15.7
827,843092,645372,Inactive,0,,,-0.08
828,843093,645373,Inactive,15,,,15.39
829,843094,645374,Inactive,4,,,4.36
830,843095,645375,Inactive,5,,,5.32
831,843096,645376,Inactive,0,,,-13.32
832,843097,645377,Inactive,0,,,-1.36
833,843098,645378,Inactive,12,,,12.07
834,843099,645379,Inactive,10,,,9.82
835,843100,645380,Inactive,12,,,11.98
836,843101,645381,Inactive,9,,,9.19
837,843103,645383,Inactive,2,,,2.05
838,843104,645384,Inactive,5,,,4.94
839,843105,645385,Inactive,0,,,-1.95
840,843106,645386,Inactive,6,,,5.61
841,843107,645387,Inactive,12,,,11.61
842,843108,645388,Inactive,1,,,1.46
843,843109,645389,Inactive,7,,,6.76
844,843110,645390,Inactive,3,,,3.45
845,843111,645391,Inactive,0,,,-7.03
846,843112,645392,Inactive,20,,,19.56
847,843113,645393,Inactive,0,,,-2.33
848,843114,645394,Inactive,6,,,6.44
849,843115,645395,Inactive,3,,,2.84
850,843116,604664,Inactive,8,,,8.33
851,843117,645396,Inactive,0,,,-0.78
852,843119,645398,Inactive,11,,,10.96
853,843121,645400,Inactive,0,,,-0.96
854,843122,645401,Inactive,4,,,3.9
855,843123,645402,Inactive,0,,,-0.38
856,843124,645403,Inactive,18,,,18.14
857,843125,645404,Inactive,0,,,-8.97
858,843126,645405,Inactive,0,,,-23.3
859,843128,645407,Inactive,6,,,6.39
860,843129,645408,Inactive,14,,,14.02
861,843130,645409,Inactive,0,,,-40.43
862,843131,645410,Inactive,5,,,4.95
863,843132,5941946,Inactive,2,,,2.28
864,843133,645412,Inactive,3,,,2.88
865,843134,645413,Inactive,7,,,6.66
866,843135,645414,Inactive,8,,,7.72
867,843136,645415,Inactive,1,,,0.66
868,843137,645416,Inactive,25,,,25.19
869,843138,645417,Inactive,11,,,10.68
870,843139,645418,Inactive,3,,,3.22
871,843142,645421,Inactive,0,,,-0.57
872,843143,81857,Inactive,17,,,16.68
873,843144,645422,Inactive,15,,,14.61
874,843146,645424,Inactive,10,,,9.54
875,843148,645426,Inactive,5,,,5.07
876,843149,645427,Inactive,0,,,-7.47
877,843150,645428,Inactive,0,,,-9.07
878,843152,645430,Inactive,0,,,-4.11
879,843154,645432,Inactive,15,,,14.73
880,843155,645433,Inactive,0,,,-2.61
881,843156,645434,Inactive,32,,,31.78
882,843157,645435,Inactive,0,,,-1.68
883,843158,5406463,Inactive,0,,,-1.38
884,843160,645438,Inactive,6,,,5.8
885,843161,645439,Inactive,6,,,6.1
886,843162,645440,Inactive,6,,,5.54
887,843163,645441,Inactive,4,,,4.16
888,843164,645442,Inactive,9,,,8.87
889,843166,645444,Inactive,0,,,-10.86
890,843167,645445,Inactive,5,,,4.53
891,843168,645446,Inactive,8,,,7.52
892,843169,645447,Inactive,14,,,14.14
893,843170,645448,Inactive,7,,,6.63
894,843171,645449,Inactive,3,,,3.29
895,843172,645450,Inactive,10,,,10.18
896,843173,645451,Inactive,9,,,9.4
897,843174,645452,Inactive,10,,,9.78
898,843175,645453,Inactive,0,,,-2.29
899,843176,645454,Inactive,1,,,1.2
900,843177,645455,Inactive,31,,,30.75
901,843178,645456,Inactive,0,,,0
902,843179,645457,Inactive,4,,,3.84
903,843180,645458,Inactive,0,,,-5.58
904,843182,645460,Inactive,8,,,8.03
905,843183,645461,Inactive,5,,,5.13
906,843188,6603461,Inactive,0,,,-6.89
907,843189,645470,Inactive,4,,,4.25
908,843190,70863,Inactive,10,,,9.94
909,843191,6603662,Inactive,10,,,9.64
910,843192,645474,Inactive,1,,,1.48
911,843193,6602582,Inactive,0,,,-5.37
912,843194,645478,Inactive,0,,,-14.74
913,843197,645481,Inactive,9,,,9.42
914,843198,645482,Inactive,10,,,10.42
915,843199,645483,Inactive,10,,,9.85
916,843202,645486,Inactive,0,,,-1.51
917,843203,645487,Inactive,20,,,19.9
918,843204,645488,Inactive,6,,,5.89
919,843205,5711671,Inactive,11,,,10.76
920,843206,645490,Inactive,11,,,11.26
921,843209,645493,Inactive,0,,,-10.28
922,843210,645494,Inactive,3,,,3.21
923,843211,645495,Inactive,8,,,7.55
924,843212,645496,Inactive,0,,,-0.72
925,843213,645497,Inactive,15,,,15.07
926,843214,645498,Inactive,5,,,5.23
927,843215,645499,Inactive,0,,,-14.47
928,843217,645501,Inactive,0,,,-5.54
929,843219,645503,Inactive,4,,,4.14
930,843220,645504,Inactive,24,,,24.19
931,843221,645505,Inactive,25,,,25.37
932,843222,5769020,Inactive,0,,,-1.27
933,843224,645508,Inactive,0,,,-4.14
934,843228,645512,Inactive,3,,,2.87
935,843229,645513,Inactive,6,,,6.44
936,843230,619283,Inactive,0,,,-14.72
937,843231,645514,Inactive,6,,,6.06
938,843232,645515,Inactive,4,,,4.27
939,843233,645516,Inactive,0,,,-3.79
940,843234,645517,Inactive,4,,,3.68
941,843235,645518,Inactive,0,,,-2.43
942,843237,645520,Active,60,,,60.06
943,843238,645521,Inactive,0,,,-2.85
944,843239,599871,Inactive,0,,,-11.38
945,843241,645523,Inactive,3,,,3.38
946,843242,54689675,Inactive,25,,,24.77
947,843243,645525,Inactive,10,,,10.16
948,843244,645526,Inactive,0,,,-6.98
949,843245,645527,Inactive,0,,,-3.02
950,843246,304906,Inactive,0,,,-23.43
951,843247,645528,Inactive,17,,,16.9
952,843249,645530,Inactive,0,,,-8.01
953,843251,645532,Inactive,9,,,9.44
954,843252,645533,Inactive,8,,,8.33
955,843253,5284840,Inactive,0,,,-11.07
956,843255,645536,Inactive,8,,,7.95
957,843256,645537,Inactive,1,,,0.95
958,843257,645538,Inactive,0,,,-15.79
959,843258,645539,Inactive,0,,,-8.59
960,843259,645540,Inactive,0,,,-4.08
961,843260,645541,Inactive,12,,,12.33
962,843261,645542,Inactive,0,,,-3.5
963,843263,5347777,Inactive,14,,,13.84
964,843266,5770442,Inactive,0,,,-4.82
965,843267,645548,Inactive,4,,,3.86
966,843268,645549,Inactive,5,,,4.53
967,843270,645551,Inactive,9,,,9.01
968,843271,645552,Inactive,0,,,-16.31
969,843272,645553,Inactive,1,,,1.33
970,843273,645554,Inactive,11,,,11.42
971,843275,645556,Inactive,13,,,13.3
972,843276,645557,Inactive,0,,,-0.58
973,843277,645558,Inactive,1,,,1.48
974,843278,329167,Inactive,14,,,14.04
975,843279,645559,Inactive,0,,,-2.67
976,843280,645560,Inactive,0,,,-9.22
977,843282,645562,Inactive,3,,,3.28
978,843283,645563,Inactive,15,,,15.18
979,843284,645564,Inactive,0,,,-11.47
980,843285,645565,Inactive,6,,,5.71
981,843286,645566,Inactive,2,,,1.83
982,843287,5347809,Inactive,0,,,-3.52
983,843289,645569,Inactive,0,,,-7.8
984,843290,645570,Inactive,0,,,-3.91
985,843291,645571,Inactive,0,,,-7.85
986,843292,645572,Inactive,21,,,20.53
987,843293,5447101,Inactive,0,,,-1.53
988,843294,645574,Inactive,6,,,5.51
989,843295,645575,Inactive,12,,,11.86
990,843296,645576,Inactive,0,,,-1.88
991,843297,645577,Inactive,8,,,7.54
992,843298,645578,Inactive,5,,,5.14
993,843300,645580,Inactive,23,,,22.78
994,843302,645582,Inactive,0,,,-9.34
995,843303,645583,Inactive,5,,,4.82
996,843304,645584,Inactive,4,,,3.63
