PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,PERCENT_INHIBITION
RESULT_TYPE,,,,,,,FLOAT
RESULT_DESCR,,,,,,,Percent Inhibition of HUTS-21 antibody binding
RESULT_UNIT,,,,,,,PERCENT
270,842429,644694,Inactive,24,,,23.8
271,842430,644695,Inactive,0,,,-3.74
272,842431,644696,Inactive,5,,,5.32
273,842432,644697,Inactive,0,,,-58.5
274,842433,644698,Inactive,15,,,14.64
275,842434,644699,Inactive,4,,,3.55
276,842435,644700,Inactive,13,,,12.76
277,842436,644701,Inactive,12,,,12.25
278,842437,644702,Inactive,10,,,10.39
279,842438,644703,Inactive,0,,,-23
280,842439,644704,Inactive,9,,,8.59
281,842440,5767152,Inactive,0,,,-8.8
282,842441,644706,Inactive,39,,,38.9
283,842442,644707,Inactive,4,,,3.75
284,842443,644708,Inactive,0,,,-8.09
285,842444,644709,Inactive,19,,,19.16
286,842445,644710,Inactive,8,,,7.96
287,842446,644711,Inactive,0,,,-7.57
288,842447,644712,Inactive,0,,,-5.98
289,842448,644713,Inactive,2,,,1.8
290,842449,644714,Inactive,0,,,-6.71
291,842450,644715,Inactive,0,,,-4.28
292,842452,644717,Inactive,0,,,0.11
293,842453,644718,Inactive,0,,,-2.08
294,842454,644719,Inactive,4,,,3.67
295,842455,644720,Inactive,0,,,-0.42
296,842456,644721,Inactive,15,,,14.8
297,842457,644722,Inactive,0,,,-6.93
298,842458,644723,Inactive,12,,,12.47
299,842459,644724,Inactive,14,,,14.12
300,842460,644725,Inactive,33,,,32.53
301,842462,644727,Inactive,12,,,11.58
302,842463,644728,Inactive,21,,,21.4
303,842464,644729,Inactive,33,,,33.47
304,842466,644731,Inactive,0,,,-3.24
305,842467,5361131,Inactive,0,,,-0.41
306,842468,644732,Inactive,8,,,8.01
307,842469,644733,Inactive,0,,,-4.61
308,842470,644734,Inactive,0,,,-4.81
309,842471,644735,Inactive,8,,,8.35
310,842472,644736,Inactive,12,,,11.82
311,842474,644738,Inactive,0,,,-13.69
312,842475,644739,Inactive,14,,,13.77
313,842476,644740,Inactive,20,,,19.52
314,842478,644742,Inactive,0,,,-16.01
315,842480,644744,Inactive,1,,,0.57
316,842481,644745,Inactive,7,,,6.93
317,842482,644746,Inactive,3,,,2.52
318,842483,6603632,Inactive,6,,,5.55
319,842486,6602670,Inactive,2,,,2.23
320,842487,644755,Inactive,11,,,10.71
321,842488,2897066,Inactive,0,,,-10.64
322,842489,644759,Inactive,0,,,-7.83
323,842491,644763,Inactive,3,,,3.32
324,842492,644764,Inactive,2,,,1.99
325,842495,644767,Inactive,11,,,10.93
326,842496,607388,Inactive,12,,,11.85
327,842497,644768,Inactive,43,,,43.34
328,842498,644769,Inactive,4,,,4.29
329,842499,644770,Inactive,0,,,-10.08
330,842500,644771,Inactive,0,,,0.47
331,842501,644772,Inactive,15,,,14.76
332,842503,644774,Inactive,1,,,0.52
333,842504,644775,Inactive,14,,,14.13
334,842505,644776,Inactive,0,,,-38.39
335,842506,644777,Inactive,0,,,-7.03
336,842507,644778,Inactive,6,,,5.7
337,842508,644779,Inactive,2,,,2.03
338,842509,644780,Inactive,0,,,-4.79
339,842510,644781,Inactive,1,,,0.95
340,842511,644782,Inactive,12,,,11.58
341,842512,602873,Inactive,12,,,11.73
342,842513,644783,Inactive,0,,,-17.94
343,842514,644784,Inactive,18,,,18.23
344,842515,644785,Inactive,0,,,-1.89
345,842516,644786,Inactive,14,,,14.3
346,842517,644787,Inactive,0,,,-1.55
347,842518,644788,Inactive,0,,,-5.95
348,842520,644790,Inactive,4,,,4.44
349,842521,644791,Inactive,13,,,13.32
350,842522,644792,Inactive,9,,,8.69
351,842523,644793,Inactive,0,,,0
352,842524,644794,Inactive,12,,,11.87
353,842525,644795,Inactive,7,,,6.59
354,842526,644796,Inactive,0,,,0.22
355,842527,644797,Inactive,0,,,-4.07
356,842529,644799,Inactive,1,,,0.66
357,842530,644800,Inactive,3,,,3.38
358,842531,644801,Inactive,0,,,-0.52
359,842532,644802,Inactive,9,,,9.33
360,842533,644803,Inactive,6,,,6.45
361,842534,644804,Inactive,0,,,-14.38
362,842535,644805,Inactive,8,,,7.65
363,842536,644806,Inactive,1,,,0.93
364,842538,644808,Inactive,3,,,2.99
365,842539,644809,Inactive,0,,,-8.7
366,842540,644810,Inactive,1,,,0.73
367,842541,644811,Inactive,0,,,-3.61
368,842543,644813,Inactive,6,,,5.71
369,842544,644814,Inactive,3,,,3.29
370,842546,644816,Inactive,0,,,-2.33
371,842547,5756988,Inactive,1,,,1.22
372,842548,644818,Inactive,6,,,5.95
373,842551,644821,Inactive,8,,,8.27
374,842552,644822,Inactive,3,,,2.5
375,842553,644823,Inactive,0,,,-21.99
376,842554,644824,Inactive,0,,,0
377,842555,644825,Inactive,9,,,9.37
378,842556,644826,Inactive,0,,,-1.19
379,842557,644827,Inactive,4,,,4.03
380,842559,644828,Inactive,0,,,-16.05
381,842560,644829,Inactive,9,,,8.99
382,842562,644831,Inactive,4,,,3.58
383,842563,644832,Inactive,2,,,2.38
384,842564,644833,Inactive,4,,,4.29
385,842565,644834,Inactive,0,,,-8.93
386,842566,644835,Inactive,11,,,10.75
387,842567,644836,Inactive,0,,,-5.94
388,842568,644837,Inactive,8,,,8.02
389,842569,644838,Inactive,0,,,-7.1
390,842570,644839,Inactive,7,,,7.35
391,842571,644840,Inactive,5,,,4.54
392,842572,596209,Inactive,1,,,1.01
393,842573,644841,Inactive,2,,,2.38
394,842574,644842,Inactive,8,,,7.65
395,842575,644843,Inactive,0,,,-3.55
396,842576,644844,Inactive,0,,,-1.06
397,842577,644845,Inactive,24,,,23.97
398,842578,644846,Inactive,15,,,15.18
399,842579,54689725,Inactive,0,,,-3.6
400,842580,644848,Inactive,16,,,16.03
401,842581,644849,Inactive,0,,,0.24
402,842582,644850,Inactive,0,,,0.26
403,842583,49968,Inactive,6,,,6.19
404,842584,644851,Inactive,0,,,-6.85
405,842585,644852,Inactive,5,,,5.02
406,842587,459770,Inactive,2,,,1.65
407,842588,644854,Inactive,0,,,-5.06
408,842589,644855,Inactive,35,,,34.69
409,842590,644856,Inactive,8,,,7.71
410,842591,603594,Inactive,4,,,4.13
411,842592,604083,Inactive,0,,,-1.97
412,842593,310138,Inactive,10,,,9.84
413,842594,644857,Inactive,0,,,-14.29
414,842595,6603452,Inactive,12,,,11.9
415,842597,6603162,Inactive,0,,,-0.53
416,842599,2881472,Inactive,40,,,40.01
417,842600,644868,Inactive,0,,,-0.76
418,842601,644870,Inactive,0,,,-7.26
419,842602,644872,Inactive,8,,,7.91
420,842604,6398893,Inactive,0,,,0.09
421,842605,751502,Inactive,0,,,-8.44
422,842606,644879,Inactive,11,,,10.94
423,842607,596113,Inactive,14,,,13.94
424,842608,644880,Inactive,15,,,14.92
425,842609,644881,Inactive,43,,,42.82
426,842610,644882,Inactive,0,,,-2.23
427,842611,644883,Inactive,0,,,-1.67
428,842612,644884,Inactive,0,,,-46.43
429,842613,644885,Inactive,0,,,-3.72
430,842614,644886,Inactive,18,,,17.65
431,842616,644888,Inactive,14,,,13.63
432,842617,644889,Inactive,0,,,-14.05
433,842618,644890,Inactive,4,,,4.01
434,842620,644892,Inactive,11,,,10.56
435,842621,644893,Inactive,15,,,14.86
436,842622,644894,Inactive,22,,,22.14
437,842623,644895,Inactive,2,,,2.27
438,842624,644896,Inactive,5,,,4.97
439,842625,644897,Inactive,6,,,6.04
440,842628,644900,Inactive,0,,,-3.02
441,842629,644901,Inactive,10,,,9.91
442,842630,644902,Inactive,0,,,-2.95
443,842631,644903,Inactive,0,,,-1.49
444,842632,644904,Inactive,7,,,7.19
445,842633,644905,Inactive,6,,,6.48
446,842635,644907,Inactive,0,,,0.41
447,842636,644908,Inactive,0,,,-5.03
448,842637,644909,Inactive,17,,,16.76
449,842638,644910,Inactive,5,,,5.23
450,842639,644911,Inactive,0,,,-6.64
451,842640,644912,Inactive,12,,,11.58
452,842641,644913,Inactive,15,,,14.96
453,842642,644914,Inactive,0,,,-3.27
454,842643,5413321,Inactive,9,,,9.41
455,842644,578335,Inactive,9,,,9.29
456,842647,644918,Inactive,10,,,10.39
457,842648,644919,Inactive,19,,,18.6
458,842649,644920,Inactive,0,,,-1.48
459,842650,644921,Inactive,4,,,4.11
460,842651,644922,Inactive,0,,,-14.63
461,842652,644923,Inactive,23,,,23.03
462,842653,644924,Inactive,0,,,-18.64
463,842654,644925,Inactive,0,,,-6.27
464,842655,644926,Inactive,0,,,-6.6
465,842656,644927,Inactive,20,,,20.13
466,842658,644929,Inactive,7,,,7.46
467,842659,644930,Inactive,0,,,-0.22
468,842660,644931,Inactive,14,,,14.27
469,842662,644933,Inactive,2,,,2.11
470,842665,644936,Inactive,10,,,9.52
471,842666,644937,Inactive,9,,,9.29
472,842667,54684102,Inactive,0,,,-4.63
473,842668,644939,Inactive,12,,,11.56
474,842669,644940,Inactive,7,,,7.09
475,842670,644941,Inactive,9,,,8.74
476,842671,644942,Inactive,0,,,-7.1
477,842672,644943,Inactive,2,,,2.16
478,842673,644944,Inactive,0,,,-5.7
479,842674,644945,Inactive,2,,,1.99
480,842675,644946,Inactive,0,,,0.27
481,842676,644947,Inactive,4,,,4.01
482,842677,644948,Inactive,0,,,-41.02
483,842678,644949,Inactive,5,,,4.61
484,842679,644950,Inactive,8,,,8.17
485,842680,644951,Inactive,0,,,0.09
486,842681,644952,Inactive,4,,,4.03
487,842682,644953,Inactive,5,,,5.16
488,842683,644954,Inactive,0,,,-0.81
489,842685,644956,Inactive,0,,,-10.29
490,842686,644957,Inactive,5,,,4.64
491,842687,644958,Inactive,0,,,-0.45
